mark,model,generation_name,year,mileage,vol_engine,fuel,city,province,price
opel,adam,,2016,78000,1398,Gasoline,Lidzbark Warmiński,Warmińsko-mazurskie,35900
opel,adam,,2013,170000,1229,Gasoline,Paczków,Opolskie,28400
opel,adam,,2013,196400,1398,LPG,Dębica,Podkarpackie,24500
opel,adam,,2013,140800,1398,Gasoline,Kielce,Świętokrzyskie,29900
opel,adam,,2015,120480,1398,Gasoline,Kraków,Małopolskie,49900
opel,adam,,2013,72000,1229,Gasoline,Radom,Mazowieckie,25900
opel,adam,,2013,130000,1398,Gasoline,Białystok,Podlaskie,26900
opel,adam,,2013,77900,1398,Gasoline,Bytom,Śląskie,29900
opel,adam,,2016,67000,1229,Gasoline,Poręba,Śląskie,35900
opel,adam,,2013,98793,1229,Gasoline,Gostyń,Wielkopolskie,26999
opel,adam,,2017,23000,999,Gasoline,Kraśnik,Lubelskie,35900
opel,adam,,2018,27016,1229,Gasoline,Łódź,Łódzkie,39900
opel,adam,,2018,15716,1398,Gasoline,Cisew,Wielkopolskie,33900
opel,adam,,2019,14961,1398,Gasoline,Runów,Mazowieckie,55000
opel,adam,,2013,79000,1200,Gasoline,Sade Budy,Mazowieckie,32500
opel,adam,,2018,6100,1398,Gasoline,Poznań,Wielkopolskie,44280
opel,adam,,2014,155000,1229,Gasoline,Kutno,Łódzkie,24950
opel,adam,,2021,12111,1100,Diesel,Radom,Mazowieckie,100000
opel,adam,,2017,30946,999,Gasoline,Inowrocław,Kujawsko-pomorskie,37900
opel,adam,,2014,48000,1229,Gasoline,Świebodzin,Lubuskie,36999
opel,adam,,2015,57500,1398,Gasoline,Kraków,Małopolskie,34900
opel,agila,gen-b-2008,2009,149000,996,Gasoline,Warszawa,Mazowieckie,11500
opel,agila,gen-b-2008,2011,100942,1242,Gasoline,Skarżysko-Kamienna,Świętokrzyskie,16300
opel,agila,gen-b-2008,2009,57700,1242,Gasoline,Bydgoszcz,Kujawsko-pomorskie,13400
opel,agila,gen-b-2008,2008,93000,996,Gasoline,Gryfino,Zachodniopomorskie,12800
opel,agila,gen-b-2008,2009,146000,996,Gasoline,Bytom,Śląskie,13500
opel,agila,gen-b-2008,2010,155324,1242,Gasoline,Przemyśl,Podkarpackie,21500
opel,agila,gen-b-2008,2008,125000,996,Gasoline,Orchowo,Wielkopolskie,11900
opel,agila,gen-b-2008,2009,190000,1200,Gasoline,Żyrardów,Mazowieckie,13999
opel,agila,gen-b-2008,2008,142353,1248,Diesel,Nysa,Opolskie,12900
opel,agila,gen-b-2008,2008,180000,996,Gasoline,Wiązów,Dolnośląskie,10500
opel,agila,gen-b-2008,2012,79717,996,Gasoline,Radzymin,Mazowieckie,18700
opel,agila,gen-b-2008,2009,91437,996,Gasoline,Kielce,Świętokrzyskie,14900
opel,agila,gen-b-2008,2009,53000,1242,Gasoline,Nowy Sącz,Małopolskie,26999
opel,agila,gen-b-2008,2008,170000,1000,Gasoline,Płońsk,Mazowieckie,12900
opel,agila,gen-b-2008,2010,111000,1200,Gasoline,Łodygowice,Śląskie,16700
opel,agila,gen-b-2008,2009,182223,996,Gasoline,Świebodzin,Lubuskie,13999
opel,agila,gen-b-2008,2009,134000,1229,Gasoline,Opole Lubelskie,Lubelskie,12999
opel,agila,gen-b-2008,2010,235000,1242,Gasoline,Radom,Mazowieckie,8800
opel,agila,gen-b-2008,2010,109079,1242,Gasoline,Zwoleń,Mazowieckie,17900
